Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2023-01-11,33,1667.5189220049226,1185.6907522934207,,,38.85572052001953,-94.68104553222656,38.85586929321289,-94.68092346191406,0.44395730911266224,1.1549042930238158,0.2715886840170091,1908,,,,,2390911,
2023-01-12,29,1627.7289217508553,1332.1881052124586,,,,,,,0.6590338525619052,1.4362852276948266,0.2602724888496337,2119,,,,,1602491,
2023-01-13,14,1559.5090755379224,722.1790879797285,,,,,,,0.5809775227209922,1.1246859604981743,0.2623523572607784,1215,,,,,250747,
2023-01-14,13,1550.2689861008741,464.90178461745035,,,,,,,1.1699721303848547,14.026875495910645,0.28290487918438445,837,,,,,67659,
2023-01-15,33,1599.3307911335971,1283.187494574489,,,38.83603286743164,-94.66958618164062,38.83604431152344,-94.66957092285156,0.7362360700357056,13.894451141357422,0.282904855750878,2104,,,,,1039796,
2023-01-16,26,1590.968354115509,889.8085749353345,,,,,,,0.669736813346387,12.848130226135254,0.28290487918438445,1531,,,,,874097,
2023-01-17,36,1606.2197479208744,1320.0704759445787,,,,,,,1.1653275626527873,13.029999732971191,0.25057019279211434,2218,,,,,1176298,
2023-01-18,15,1569.6293273000929,722.9801519871064,,,,,,,0.5732438637451815,1.3873116970062256,0.2602724888496337,1319,,,,,451275,
2023-01-19,7,1555.5022374221276,276.85709898869135,,,,,,,0.46479271295947966,1.4128120092538652,0.33948585097901124,487,,,,,171353,
2023-01-20,12,1553.732909343256,529.3537241342318,,,,,,,0.36881219210440735,1.3675889375097732,0.29422107435175987,891,,,,,136295,
2023-01-21,,1546.8543701171875,,,,,,,,,,,38,,,,,,
2023-01-22,7,1559.7340619854792,362.88415812832113,,,,,,,0.4269208087712878,1.6193663415758757,0.25685557091914285,621,,,,,255205,
2023-01-23,9,1556.3100589494718,461.47957438839893,,,,,,,0.567085416168025,1.2594047115221743,0.2602724888496337,795,,,,,187360,
2023-01-24,32,1587.3442506785505,1404.5482594335147,,,,,,,0.7012779322115474,2.5960177865363527,0.2602724888496337,2302,,,,,802290,
2023-01-25,17,1566.5089903598578,641.6282659901839,,,,,,,0.3922916021000745,0.9101595057889665,0.2715886840170091,1031,,,,,389447,
2023-01-26,29,1625.0119680607422,1399.1438156832035,2.0,1,,,,,0.7808436678897693,2.584798200916015,0.28290487918438445,2163,,,,,853785,299630
2023-01-27,13,1559.4151545466918,562.3181226822383,,,,,,,0.6971934488280717,1.1882902240184547,0.2602724888496337,917,,,,,248886,
